,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,anom_count,incident_id,num,class,mse
30660,4066,3636,3658,4124,4066,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,2744,4026,2708,4020,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4124,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,2956,2956,2708,2744,4068,2742,4026,4124,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4412,4066,3636,3658,4396,148,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,2956,2956,2956,2956,3636,3658,4120,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3008,2956,2956,2956,4066,2956,3636,3658,2956,2956,4066,3636,3658,2956,2956,2956,2956,4120,0,4467903,27,normal,4.758411159699208
30723,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,3636,3658,4124,3008,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,3636,148,3636,3658,2956,4120,2956,2956,2956,4066,2956,2956,3636,2956,2956,2956,2956,2956,4068,2956,2956,3636,3658,4120,2956,4066,2956,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,2956,3636,3658,2956,4120,2956,2956,2956,4068,3636,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,2956,2956,2956,3636,3658,2956,2956,4120,4066,3636,2956,2684,2956,2956,4124,148,3008,2956,2956,2956,2956,2956,2956,4066,2956,2956,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4066,4120,2708,4050,0,4467903,90,normal,4.75046405259908
30659,2956,4066,3636,3658,4124,2956,2956,2956,2956,2956,4066,3636,3658,4124,4066,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,2744,4026,2708,4020,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4124,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,2956,2956,2708,2744,4068,2742,4026,4124,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4412,4066,3636,3658,4396,148,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,2956,2956,2956,2956,3636,3658,4120,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3008,2956,2956,2956,4066,2956,3636,3658,0,4467903,26,normal,4.732816291136193
30696,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,2956,2956,3636,3658,2956,2956,4124,4068,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,3008,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,2956,2956,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4396,148,2956,2956,2956,2956,2956,2956,2956,4068,4066,3636,3658,3636,3658,2956,2956,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,2956,2956,3636,3658,4120,4068,3636,3658,2956,2956,4396,1446,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,3008,4120,2956,2956,2956,2956,0,4467903,63,normal,4.700759865746434
30751,4002,2852,4110,2854,4026,4092,4094,2708,2742,4030,4018,4026,4148,4128,4140,4152,4168,4156,4130,4394,152,4406,4408,4410,4412,3254,3254,3254,4120,2858,2658,2688,3360,2744,4026,3254,3254,3254,4124,2858,1566,1570,2852,2854,3336,2742,4148,4026,2852,2854,2970,4082,4090,4092,4084,4094,4090,3234,2974,4100,4070,2742,4148,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4406,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,2708,2744,4026,4124,2858,4124,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,0,4467907,0,normal,21.30908279040934
30752,4018,4026,4148,4128,4140,4152,4168,4156,4130,4394,152,4406,4408,4410,4412,3254,3254,3254,4120,2858,2658,2688,3360,2744,4026,3254,3254,3254,4124,2858,1566,1570,2852,2854,3336,2742,4148,4026,2852,2854,2970,4082,4090,4092,4084,4094,4090,3234,2974,4100,4070,2742,4148,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4406,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,2708,2744,4026,4124,2858,4124,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,0,4467907,1,normal,19.7250997658186
30842,2956,2956,2956,2956,2742,4026,4148,4016,4026,2708,4020,4026,4020,4068,4168,4114,4168,4140,4140,3986,3986,4114,3636,3658,4078,4120,2956,2956,2956,2742,4002,4032,2708,2852,4028,4110,4026,2854,4004,4032,4028,2852,4016,4026,4110,2854,2956,4140,4140,4030,4020,4020,4140,4140,4148,4140,4140,4162,4162,4150,4150,4152,4152,4168,4156,4168,4156,4406,4410,4408,4412,4120,2956,2852,2854,2956,4120,2956,2956,1572,4396,2956,2956,2956,2956,4120,2956,2858,4120,4122,3254,3254,3254,3008,3234,2956,2956,4026,4016,4026,2744,4148,4020,4026,2708,4026,4020,4396,2956,2956,2956,3254,4180,4016,2744,4148,2956,2956,3254,3254,4068,3254,3636,3658,4078,4120,2956,2956,2956,2956,4396,148,2956,2956,2956,2956,2956,2956,3254,2956,2956,2956,2956,2970,2956,2956,2956,2956,4092,4082,0,4467933,55,normal,21.614801696694634
30843,4020,4026,4020,4068,4168,4114,4168,4140,4140,3986,3986,4114,3636,3658,4078,4120,2956,2956,2956,2742,4002,4032,2708,2852,4028,4110,4026,2854,4004,4032,4028,2852,4016,4026,4110,2854,2956,4140,4140,4030,4020,4020,4140,4140,4148,4140,4140,4162,4162,4150,4150,4152,4152,4168,4156,4168,4156,4406,4410,4408,4412,4120,2956,2852,2854,2956,4120,2956,2956,1572,4396,2956,2956,2956,2956,4120,2956,2858,4120,4122,3254,3254,3254,3008,3234,2956,2956,4026,4016,4026,2744,4148,4020,4026,2708,4026,4020,4396,2956,2956,2956,3254,4180,4016,2744,4148,2956,2956,3254,3254,4068,3254,3636,3658,4078,4120,2956,2956,2956,2956,4396,148,2956,2956,2956,2956,2956,2956,3254,2956,2956,2956,2956,2970,2956,2956,2956,2956,4092,4082,4090,2956,4094,4084,4090,4082,4092,4090,2956,4094,0,4467933,56,normal,21.591174402551346
30841,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2742,4026,4148,4016,4026,2708,4020,4026,4020,4068,4168,4114,4168,4140,4140,3986,3986,4114,3636,3658,4078,4120,2956,2956,2956,2742,4002,4032,2708,2852,4028,4110,4026,2854,4004,4032,4028,2852,4016,4026,4110,2854,2956,4140,4140,4030,4020,4020,4140,4140,4148,4140,4140,4162,4162,4150,4150,4152,4152,4168,4156,4168,4156,4406,4410,4408,4412,4120,2956,2852,2854,2956,4120,2956,2956,1572,4396,2956,2956,2956,2956,4120,2956,2858,4120,4122,3254,3254,3254,3008,3234,2956,2956,4026,4016,4026,2744,4148,4020,4026,2708,4026,4020,4396,2956,2956,2956,3254,4180,4016,2744,4148,2956,2956,3254,3254,4068,3254,3636,3658,4078,4120,2956,2956,2956,2956,4396,148,2956,2956,2956,2956,2956,2956,3254,2956,0,4467933,54,normal,20.796606906976866
30844,3986,4114,3636,3658,4078,4120,2956,2956,2956,2742,4002,4032,2708,2852,4028,4110,4026,2854,4004,4032,4028,2852,4016,4026,4110,2854,2956,4140,4140,4030,4020,4020,4140,4140,4148,4140,4140,4162,4162,4150,4150,4152,4152,4168,4156,4168,4156,4406,4410,4408,4412,4120,2956,2852,2854,2956,4120,2956,2956,1572,4396,2956,2956,2956,2956,4120,2956,2858,4120,4122,3254,3254,3254,3008,3234,2956,2956,4026,4016,4026,2744,4148,4020,4026,2708,4026,4020,4396,2956,2956,2956,3254,4180,4016,2744,4148,2956,2956,3254,3254,4068,3254,3636,3658,4078,4120,2956,2956,2956,2956,4396,148,2956,2956,2956,2956,2956,2956,3254,2956,2956,2956,2956,2970,2956,2956,2956,2956,4092,4082,4090,2956,4094,4084,4090,4082,4092,4090,2956,4094,2956,2956,2956,3236,2956,4068,3636,3658,2956,2974,0,4467933,57,normal,20.31268058630149
