,t00,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100,t101,t102,t103,t104,t105,t106,t107,t108,t109,t110,t111,t112,t113,t114,t115,t116,t117,t118,t119,t120,t121,t122,t123,t124,t125,t126,t127,t128,t129,t130,t131,t132,t133,t134,t135,t136,t137,t138,t139,t140,t141,t142,t143,t144,t145,t146,t147,t148,t149,anom_count,incident_id,num,class,mse
5,4124,2858,2658,2688,3254,3254,3254,2970,4082,4090,4092,2982,3236,4100,2702,4394,1250,2970,2980,2970,2980,2970,2982,2970,2982,4168,4140,3986,2742,4004,2852,4110,2854,2982,2708,4026,4030,4018,4148,4140,4152,4168,4156,4120,2858,2658,2688,3254,3254,2970,2982,2708,2970,2982,4100,2702,1250,4394,2744,4026,4148,2970,2980,4168,4140,4168,3986,2744,4002,2852,4110,2854,2980,2708,4026,4148,2552,4168,4140,4152,4030,4018,4026,4140,4168,4156,2970,2982,2708,2970,4082,4092,4090,4084,4094,4090,3236,2982,4100,2702,1250,4394,4168,4140,3986,2744,4004,2852,4110,2854,2982,2708,4026,4140,4030,4018,4140,4140,2552,4168,4140,4148,4140,4140,4152,4168,4156,2708,2970,4082,4092,4090,4084,4094,4090,3236,2982,4066,2708,2708,3082,4394,3086,1286,1720,1740,1760,1780,4396,1286,0,4432881,5,normal,48.42915039139365
27,2744,4148,4016,4394,1566,1570,4394,1566,1570,4396,4396,3634,4124,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4124,4078,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4124,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,0,4432943,0,normal,5.513323378926586
45,4394,1566,1570,4394,1566,1570,2674,1566,1570,4394,4394,2038,4112,4154,4394,4394,4120,2708,4120,4120,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,0,4432955,0,normal,49.0829626710209
46,4394,2038,4112,4154,4394,4394,4120,2708,4120,4120,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,0,4432955,1,normal,48.45683069813892
47,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,4020,4026,4140,4020,4140,4020,4026,4140,4140,4140,0,4432955,2,normal,44.78849677435894
48,4156,4156,4406,4112,2038,4154,4394,4394,2708,4066,4068,4066,4068,4066,4068,2492,2708,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,4406,3632,4120,4120,4120,4112,2038,4154,4394,4394,2534,4114,4168,4114,4168,4168,4168,4168,4168,4156,4156,4156,2038,4112,4154,4394,4394,4120,2528,2492,4068,4066,4066,2494,4102,4106,2708,4114,4168,4114,4168,2540,4140,2540,4140,4168,2540,4140,4022,3986,3986,3986,2752,3986,4394,1566,1570,2752,3986,4394,1566,1570,2492,2492,2674,2674,4004,4032,2712,4004,4032,4396,4028,4028,4004,4032,2852,4026,4110,2852,4026,4110,4026,4028,2852,4110,2854,2854,2854,2742,4026,2708,4026,4016,4026,4016,4396,4030,4148,4140,4140,4026,4020,4026,4140,4020,4140,4020,4026,4140,4140,4140,4152,4152,4140,4152,4168,4168,4168,4156,4156,4156,0,4432955,3,normal,43.0693941824206
91,4066,4066,3636,3658,4066,4066,3636,3658,4068,4068,2708,4026,4016,2742,4026,4026,4020,2708,4020,3658,3636,4120,4066,4066,3658,3636,4068,4068,3658,3636,4068,4068,3658,3636,4078,4068,4068,3658,3636,4078,4068,4068,3636,3658,4068,4068,3636,3658,4078,4068,4068,3636,3658,4078,4068,4068,3636,3658,4078,4068,4068,3658,3636,4078,4068,4068,3658,3636,4068,4068,3658,3636,4066,4066,2708,2744,2708,4020,4026,4016,4026,4026,4020,3636,3658,4124,4066,4066,3636,3658,4066,4066,3636,3658,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4068,4068,4124,3636,3658,4066,4066,3636,3658,4078,4066,4066,3636,3658,4078,4068,4068,2708,2744,4016,4124,3634,4068,4068,2708,4026,4016,2742,4026,4026,4020,2708,4020,358,4394,4120,0,4433021,1,normal,12.509716692845975
159,2956,4066,3636,3658,4078,4120,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,0,4433267,50,normal,15.763552281712377
161,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,52,normal,15.263103933381444
160,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,51,normal,15.26031555905332
162,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,53,normal,15.015042752295264
164,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4068,0,4433267,55,normal,14.890163505453938
163,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2708,4028,4076,4028,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,54,normal,14.82947923129532
157,4124,2686,2708,2742,4026,4120,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,4066,3636,3658,4078,4120,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,0,4433267,48,normal,14.343581106748154
158,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,4066,3636,3658,4078,4120,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3636,3658,4078,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,3636,3658,4120,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,3224,4396,2956,4068,4120,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,3982,4120,3636,3658,4048,2736,4048,2708,4016,4020,4020,4028,4026,4028,4026,4022,2744,4026,2708,4026,4016,2740,4030,4026,4020,4026,4020,4396,2972,3236,144,2976,4100,4124,2708,3620,4028,4076,2682,4028,2682,144,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433267,49,normal,13.646030519505784
224,4016,4140,4152,152,4394,152,4140,4140,2740,2540,4140,2540,4140,4168,4114,4168,4140,4152,4140,4152,2740,2708,4028,4028,2740,4168,4168,4156,4156,3492,1566,1570,4394,2674,1566,1570,3492,2742,4148,2740,4016,4026,4030,4020,4020,4026,4396,4168,4114,4168,4140,4140,3986,3986,4114,4002,4032,4004,4032,4026,4028,4026,4028,2852,4110,2852,4110,2854,2854,3492,4396,2492,2492,4024,2494,2494,4102,4106,4102,4106,4024,3506,3536,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,4024,3506,2498,2498,3986,3986,4004,4032,4002,4032,2742,2852,4026,4028,4110,4028,2708,2852,4016,4026,4110,2854,2854,4148,4140,4392,1218,4082,4090,4092,4152,4140,4152,4168,4168,4156,4156,2740,3258,3260,1762,1768,4024,3506,4016,4026,2744,4056,4026,4032,2708,4026,4396,4090,2740,0,4433287,8,normal,39.98947813135333
223,4168,4168,2540,4140,4140,2540,2742,4148,4140,4152,4016,4140,4152,152,4394,152,4140,4140,2740,2540,4140,2540,4140,4168,4114,4168,4140,4152,4140,4152,2740,2708,4028,4028,2740,4168,4168,4156,4156,3492,1566,1570,4394,2674,1566,1570,3492,2742,4148,2740,4016,4026,4030,4020,4020,4026,4396,4168,4114,4168,4140,4140,3986,3986,4114,4002,4032,4004,4032,4026,4028,4026,4028,2852,4110,2852,4110,2854,2854,3492,4396,2492,2492,4024,2494,2494,4102,4106,4102,4106,4024,3506,3536,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,4024,3506,2498,2498,3986,3986,4004,4032,4002,4032,2742,2852,4026,4028,4110,4028,2708,2852,4016,4026,4110,2854,2854,4148,4140,4392,1218,4082,4090,4092,4152,4140,4152,4168,4168,4156,4156,2740,3258,3260,1762,1768,4024,3506,4016,0,4433287,7,normal,39.46687367393764
231,4396,2492,2492,4024,2494,2494,4102,4106,4102,4106,4024,3506,3536,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,3506,4024,3506,2498,2498,3986,3986,4004,4032,4002,4032,2742,2852,4026,4028,4110,4028,2708,2852,4016,4026,4110,2854,2854,4148,4140,4392,1218,4082,4090,4092,4152,4140,4152,4168,4168,4156,4156,2740,3258,3260,1762,1768,4024,3506,4016,4026,2744,4056,4026,4032,2708,4026,4396,4090,2740,4026,4026,4090,4030,4396,4020,4026,4026,4020,4090,4410,4406,4406,4408,4412,4408,4410,4412,2852,2854,3634,4126,4148,2708,4016,2744,4066,4068,4068,4066,4002,2852,4110,2854,4026,2708,2744,4026,4148,4140,4152,4168,4156,4406,4410,2740,4408,4412,4022,2742,4026,2740,4030,4018,4026,4070,4148,2852,2854,3632,152,4394,3982,4120,3632,4048,4066,4068,2736,4016,0,4433287,15,normal,39.15443854689997
260,4066,3636,3658,4078,4068,4066,3636,3658,4078,4068,4066,2708,4002,2852,4110,2854,4026,4092,4094,2708,2742,4026,4148,4030,4140,4018,4152,4168,4156,4406,4410,4412,4408,3254,3254,2852,2854,3254,4180,4120,2858,2650,2688,152,4394,2852,2854,2970,2980,2970,2980,2970,4082,4090,4092,4084,4094,4090,3234,2974,4100,4120,4120,2682,2956,2956,2956,2956,3982,4016,4048,4068,4048,4016,2708,2736,2708,4020,2752,4032,4026,2752,4032,4016,2744,4026,4148,4016,1266,4016,2744,4148,4016,3528,4394,3514,3528,4394,3514,4016,2744,4148,4016,2708,2742,4026,4016,4016,2740,2752,4022,3506,4050,2742,4026,4050,4148,4026,4032,4018,4032,2740,3632,4030,4018,4122,4016,2708,2742,4026,2740,2752,1266,3548,4394,3534,3548,4394,3534,4022,4026,4016,2708,2742,4026,2740,2752,1266,4168,4140,0,4433333,15,normal,46.85534091192115
259,3636,3658,3980,4068,4066,3636,3658,4078,4120,4068,4066,3636,3658,4078,4068,4066,3636,3658,4078,4068,4066,2708,4002,2852,4110,2854,4026,4092,4094,2708,2742,4026,4148,4030,4140,4018,4152,4168,4156,4406,4410,4412,4408,3254,3254,2852,2854,3254,4180,4120,2858,2650,2688,152,4394,2852,2854,2970,2980,2970,2980,2970,4082,4090,4092,4084,4094,4090,3234,2974,4100,4120,4120,2682,2956,2956,2956,2956,3982,4016,4048,4068,4048,4016,2708,2736,2708,4020,2752,4032,4026,2752,4032,4016,2744,4026,4148,4016,1266,4016,2744,4148,4016,3528,4394,3514,3528,4394,3514,4016,2744,4148,4016,2708,2742,4026,4016,4016,2740,2752,4022,3506,4050,2742,4026,4050,4148,4026,4032,4018,4032,2740,3632,4030,4018,4122,4016,2708,2742,4026,2740,2752,1266,3548,4394,3534,3548,4394,3534,4022,0,4433333,14,normal,45.08995895849
291,4020,4026,4020,4026,4140,4152,4140,4152,4168,4168,4156,4156,4394,1566,1570,4394,2886,4396,3254,3254,3254,2852,2854,4120,4066,4068,4066,4068,2858,2658,2688,3256,3256,4016,4026,4026,2742,4148,4020,2708,4020,4026,3254,3254,3254,2852,2854,4120,2858,2658,2688,3256,3256,2970,4396,1572,4396,4082,4090,4092,4084,4090,4094,4082,4092,4090,4094,3234,2974,4100,4120,4076,4066,4068,4120,3636,3658,4066,4068,3636,3658,4066,4068,3636,3658,4120,4066,4068,3636,3658,4066,4068,3658,3636,4120,2682,4066,4068,3658,3636,4120,4068,4066,3658,3636,4066,4068,3658,3636,4068,4066,3636,3658,4078,4120,2682,4066,4068,3636,3658,2684,4120,4066,4068,3636,3658,4078,4120,4066,4068,3636,3658,4078,4068,4066,3636,3658,4120,4066,4068,2708,3364,3354,3354,2742,4148,2708,4026,4020,4016,0,4433367,2,normal,23.636272481023955
302,4140,4026,4030,4018,2552,4168,4168,4148,4140,4152,4168,4156,4394,152,2744,4026,2852,2854,3634,3254,4180,3254,4124,4124,2896,2858,2708,2742,4148,4070,3982,4120,4048,4066,4068,2736,4054,2708,4016,4020,4020,4028,4026,4026,4028,4026,4016,2708,2742,4026,2740,4020,4030,4020,4026,2852,2854,3632,3254,3254,3254,4180,4070,3982,4120,4048,4016,4020,4048,2736,4028,2708,4026,4026,4028,4020,4028,4026,3340,4394,3340,4394,3340,4394,2744,4148,2708,4026,4026,4016,4026,4406,4016,2740,4412,4030,4408,4020,4026,4410,4020,4020,2852,2854,2852,2854,3254,3254,3254,4180,2896,2970,4082,4092,4090,4084,4094,4090,4090,4082,4092,4094,4090,4092,4082,4094,3236,2896,2894,2974,4100,4124,2858,3256,3256,3256,4124,2686,4124,2158,4396,4396,4412,4124,4396,2158,4396,4412,4124,2956,0,4433411,1,normal,34.8033269037524
341,2956,2956,2956,2956,2956,2956,2956,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4114,4168,4168,4140,4140,4114,4170,2956,4140,4140,4162,4162,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,4166,2956,4166,2956,2956,2956,2956,2956,2956,2956,0,4433627,25,normal,10.132282162244117
344,4168,4140,4140,4114,4170,2956,4140,4140,4162,4162,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,4166,2956,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,4180,2956,0,4433627,28,normal,10.119556054701944
343,2956,2956,2956,2956,2956,2956,2956,2956,4114,4168,4168,4140,4140,4114,4170,2956,4140,4140,4162,4162,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,4166,2956,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433627,27,normal,9.913877999790126
342,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4114,4168,4168,4140,4140,4114,4170,2956,4140,4140,4162,4162,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,4166,2956,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433627,26,normal,9.90899430889117
340,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4114,4168,4168,4140,4140,4114,4170,2956,4140,4140,4162,4162,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,0,4433627,24,normal,9.758945409497324
345,2956,4160,4160,4168,4168,4166,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4180,4066,4066,2708,2744,4026,4026,2708,4020,4016,4026,4020,4158,4124,3636,3658,4078,4124,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,4068,4068,3636,3658,4078,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4168,4114,4168,4140,4140,2956,2956,4170,4114,4140,4140,4162,4162,4160,4160,4168,4168,4166,2956,4166,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,2956,4066,4066,3636,3658,4078,4180,2956,2682,2956,2956,2956,2956,2956,2956,2956,2956,2956,0,4433627,29,normal,8.616248429681725
